ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2020,ABRIL,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3626882","-48,4500286",05:30:00
2020,MAIO,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,383837","-48,4378546",20:30:00
2020,JANEIRO,BENGUI,BELEM,VIA PUBLICA,"-1,3630281","-48,4585173",06:50:00
2020,FEVEREIRO,PARQUE VERDE,BELEM,VIA PUBLICA,-1.3626882,-48.4500286,03:20:00
2020,MAIO,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,2938977","-48,4669556",19:30:00
2020,MAIO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3377241","-48,4682825",19:30:00
2020,NOVEMBRO,CONDOR,BELEM,VIA PUBLICA,"-1,4763371","-48,4793809",05:00:00
2020,FEVEREIRO,VILA,MOSQUEIRO,VIA PUBLICA,-1.1590133,-48.4690059,05:30:00
2020,JUNHO,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,404974831753","-48,432821271797",05:00:00
2020,MARCO,TERRA FIRME,BELEM,VIA PUBLICA,-1.4565321,-48.4518258,06:00:00
2020,MARCO,BENGUI,BELEM,VIA PUBLICA,"-1,3630281","-48,4585173",23:30:00
2020,MARCO,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3626882","-48,4500286",01:30:00
2020,MAIO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4374898","-48,4661123",19:40:00
2020,SETEMBRO,MARCO,BELEM,HOSPITAL,"-1,4316152","-48,4552853",21:50:00
2020,NOVEMBRO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3394667","-48,4682766",19:00:00
2020,MARCO,NAZARE,BELEM,"CAFE, BAR, RESTAURANTE",-1.4531662,-48.4862326,07:00:00
2020,DEZEMBRO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4273995","-48,4651636",05:30:00
2020,AGOSTO,GUAMA,BELEM,VIA PUBLICA,"-1,4592696855198186","-48,46560716629028",23:00:00
