ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,ABRIL,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4011381","-48,4346545",21:00:00
2019,MARCO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3259071","-48,4384724",05:05:00
2019,JANEIRO,AGULHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,313182","-48,4740634",18:40:00
2019,JUNHO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4347709","-48,4889376",15:00:00
2019,JULHO,GUAMA,BELEM,ESTABELECIMENTO DE ENSINO,"-1,4723758","-48,4549603",17:30:00
2019,ABRIL,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3259071","-48,4384724",14:00:00
2019,JANEIRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4509776","-48,454445",18:00:00
2019,OUTUBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4021138","-48,4787579",03:00:00
2019,JANEIRO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,47275","-48,4853539",17:25:00
2019,JANEIRO,PARACURI,ICOARACI,RESIDENCIA PARTICULAR,"-1,3142761","-48,4741804",09:45:00
2019,SETEMBRO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,4589754","-48,4891891",17:55:00
2019,FEVEREIRO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4170136","-48,4828742",13:00:00
2019,MAIO,CANUDOS,BELEM,ESTABELECIMENTO DE ENSINO,"-1,4517917","-48,4575013",12:00:00
2019,AGOSTO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4247685","-48,464819",10:00:00
2019,MARCO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4059187","-48,4678726",05:30:00
2019,SETEMBRO,BENGUI,BELEM,RESIDENCIA PARTICULAR,"-1,37412","-48,4529524",03:30:00
2019,AGOSTO,MARCO,BELEM,"HOTEL, PENSAO, ETC","-1,4415003","-48,4601988",19:45:00
2019,SETEMBRO,MARACANGALHA,BELEM,CASA COMERCIAL,"-1,3993109","-48,4752708",10:00:00
2019,AGOSTO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3373415","-48,4570773",23:30:00
2019,SETEMBRO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4626088","-48,4976267",04:00:00
2019,SETEMBRO,NAZARE,BELEM,CASA DE TOLERANCIA,"-1,4518221","-48,4745785",03:00:00
2019,DEZEMBRO,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4053597","-48,4636737",05:05:00
2019,NOVEMBRO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4363705","-48,4667205",09:00:00
2019,JULHO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,3993766","-48,4738045",22:00:00
2019,JUNHO,CAMPINA,BELEM,VIA PUBLICA,"-1,4475185","-48,4984062",11:00:00
2019,JUNHO,SACRAMENTA,BELEM,"HOTEL, PENSAO, ETC","-1,4114645","-48,4712581",11:00:00
2019,DEZEMBRO,MARCO,BELEM,"CAFE, BAR, RESTAURANTE","-1,4358516","-48,4618163",22:30:00
2019,AGOSTO,NAZARE,BELEM,RESIDENCIA PARTICULAR,,,03:00:00
2019,OUTUBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,3991184","-48,4812179",05:10:00
2019,DEZEMBRO,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3663553","-48,4444989",19:00:00
2019,OUTUBRO,GUAMA,BELEM,VIA PUBLICA,"-1,4633261","-48,4674007",14:00:00
2019,SETEMBRO,REDUTO,BELEM,"CAFE, BAR, RESTAURANTE","-1,4483241","-48,4947792",09:00:00
2019,MARCO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4273751","-48,4677628",19:00:00
